old_item_id,canonical_item_id
9278,6411
9318,6388
10547,3074
7874,5119
10465,3078
10397,6397
10440,10435
4413,4412
10221,7820
9304,6355
3134,1665
7180,6494
3141,2391
3695,2940
10555,3069
3099,1689
9088,4066
4283,4282
6141,2397
9308,6366
7139,4059
3757,117
4341,4340
5445,4340
7153,1751
3016,1829
4543,1829
5223,1829
9978,1829
7213,6538
9275,6407
1055,542
4770,3992
10296,3992
4243,3002
3010,2235
4542,2235
9282,6416
1047,305
3696,2625
4794,2625
10577,3067
7300,4060
1313,1312
7214,7078
4377,4376
10538,7977
7090,6419
10401,6419
6216,5226
5368,3854
2942,1792
3100,1792
4368,4367
6864,5796
1373,1323
6690,5045
10587,7817
4535,4337
10569,3489
3778,19
4532,4322
812,365
9929,8173
3098,2249
5984,2249
493,56
9192,1327
6022,5048
10594,4858
8225,3710
2944,1694
3111,1694
5986,1694
3786,488
9280,6413
7347,3213
8230,3213
7578,7199
1268,207
7092,7061
982,182
3794,462
4530,4273
5849,4626
10352,7899
9307,6359
3783,480
9283,6417
4491,2367
3726,1696
3115,1700
10557,4862
10454,5608
10470,7176
6152,4731
7616,4446
7481,7480
3109,1690
4516,1690
7188,6464
5910,5318
3785,126
3117,1677
3133,1664
9273,6404
9747,9290
501,52
10119,7144
9313,6372
9207,8227
4002,1727
9593,8018
3772,941
9325,6398
9289,6336
5211,1714
5654,1714
5561,4962
10268,4722
10541,3055
5833,1225
10522,3045
3789,477
10554,3068
2943,1693
3110,1693
5985,1693
5239,4760
5745,4760
6220,4760
3723,2522
6580,2522
5850,4627
10334,7927
3707,3091
10409,6381
4382,4381
7926,7902
9195,9191
10578,3064
3108,1688
4046,1688
6218,5740
10600,4852
10580,4067
4469,4461
10452,3051
6926,1229
10366,5212
3130,1661
3741,1293
6228,5007
10676,4718
3770,452
4575,2392
7185,6502
4186,1778
3765,932
10482,4860
898,268
10403,6401
3756,118
7993,4971
4762,4761
5967,2642
7468,5988
3768,105
961,361
9089,6323
2381,1800
3105,1800
10007,5229
10532,3058
6230,5016
9084,3043
9090,3044
10453,7981
4185,3018
10332,6616
9323,6395
6145,4735
4537,4375
6853,5099
7876,5099
3139,1791
4054,2995
5240,2995
6303,2681
5688,4639
4798,1680
4003,1728
7635,1753
6200,4732
3114,1699
7556,1699
4043,1804
7097,6998
3107,1687
4800,1687
5104,4195
10573,3072
4796,1679
4448,4425
9346,8289
5429,3459
8226,3709
10479,3709
5305,5300
3124,1671
4423,4422
10040,1230
3763,930
989,956
2945,1697
3112,1697
6144,1697
7555,1697
979,191
4346,4345
4347,4345
10393,1261
3742,1294
4485,4476
2377,1798
3103,1798
4512,1805
7228,5861
9775,8538
4511,1809
9173,4062
6212,6146
10468,6326
1205,1204
3759,115
3812,1827
4541,1827
9990,1827
3744,357
3739,1291
3719,1807
4805,1807
9091,3042
3129,1660
5768,1660
10219,7694
9175,6017
3113,1698
5756,1698
5978,1698
5848,4638
3760,112
7186,6423
3775,944
9291,6342
9086,6322
7485,7483
9081,3050
9416,9393
6599,1786
4480,4479
10324,3200
5496,3467
9279,6412
900,359
10616,5270
3137,1668
6044,1668
4372,4371
5221,3019
4184,1789
10227,9566
10575,7983
9919,6949
3993,1763
6021,1763
9301,6351
10595,7819
8669,7204
7181,6365
3729,2956
6880,6353
5133,3224
6845,6801
3132,1663
9309,6367
4318,4317
7183,6438
4193,2934
10601,4851
3749,370
9188,7601
4004,1756
6018,1756
10467,3079
3123,1669
5765,1669
4529,4320
3764,931
9302,6352
9310,6368
7641,3027
9300,6350
5444,4954
4281,4280
5291,4611
7196,7135
10400,1262
4065,1254
9322,6394
10556,3066
3138,1790
6043,1790
6705,6540
7567,7405
997,957
3793,439
9272,6403
4279,4278
6865,5797
9306,6358
5980,1803
3101,1796
7211,6688
9152,3813
4051,2998
4487,2998
5238,2998
5744,2998
6219,2998
7158,2998
9271,6402
4339,4338
9082,3040
3773,942
6600,1777
7522,7518
3746,360
983,181
9315,6383
3118,1678
3106,1808
9293,6344
5479,1439
9597,8020
10523,4849
10521,4857
3791,74
4792,1691
5131,3218
7452,7418
2941,1797
3102,1797
6184,1797
4399,4396
3122,2394
6039,2394
8100,5549
9297,6346
7634,4447
10325,3215
10558,3070
10539,3054
10588,6929
9314,6380
10537,7978
5989,2947
7343,5120
3753,377
3776,5
10582,3075
2521,1224
8228,6096
9161,9160
7577,7195
8022,4006
9596,4006
10232,5179
5228,5227
8017,5227
9592,5227
9295,7664
3740,1292
9312,6371
10542,3046
3780,511
8941,8930
10574,5607
4344,4343
6129,5079
4544,4244
9983,4244
10530,3037
6643,6539
6712,6539
2246,1836
9922,6945
9083,6877
8224,4176
10570,3062
3020,1783
10038,1783
7346,3210
8229,3210
10534,6324
4370,4369
9277,6409
3135,1666
1124,261
10526,3047
9299,6348
1119,714
10367,1263
3140,2390
9276,6408
4097,1760
4200,3187
5180,1320
5181,1320
5182,1320
5183,1320
5683,1320
5834,1223
9087,3039
5648,5196
3779,20
5746,2240
6214,2240
6300,2688
4494,1779
140,139
5864,5859
9298,6347
6014,4780
4536,4342
4197,3203
4551,2236
4005,1761
6020,1761
10525,3057
10527,3057
4189,1769
10317,3041
4409,4408
10576,7984
7564,7470
9462,8334
9551,3031
4445,4430
6997,6881
10495,6362
3730,2957
4313,4312
9326,6399
2370,1787
6879,6337
10392,6337
5769,3724
1266,186
6882,6468
10005,8023
7330,4724
7879,4724
7064,6341
3136,1667
6151,1667
10042,1231
10218,6740
3761,110
10579,6325
5917,5908
4998,4997
3116,1670
5766,1670
3127,1674
4213,1674
5385,1674
10597,4863
10520,3053
10466,3065
9274,6405
9305,6356
2993,1767
9172,1767
3727,1695
4795,1695
5979,1695
3670,3640
518,242
4515,2396
836,539
2986,1725
4000,1725
4527,1725
2378,1799
3104,1799
5982,1799
980,190
4095,1757
6019,1757
7154,1757
10590,6327
7579,7194
6691,5798
1051,312
3126,1673
911,803
8231,4723
4096,1755
4799,1682
4001,1726
3121,2393
7182,6441
2968,1828
3011,1828
4187,1828
4550,1828
9987,1828
3720,1685
4533,4335
10492,6364
7178,6393
3748,364
9080,7208
5132,3229
10567,3077
9311,6370
3751,373
3737,1289
4478,4477
9284,6418
4482,4481
988,955
9193,2256
9281,6414
5557,5265
6187,5383
3752,375
5594,5593
9319,6391
3485,1259
10572,7821
4488,4053
5241,4053
4840,4743
3784,479
4434,4433
3777,7
3754,379
4793,1692
9174,4061
6883,6430
3762,929
4540,4474
5618,3698
7877,3698
7525,7520
4405,4404
8221,3029
3820,3804
6844,6800
10524,7982
6863,4970
10568,7980
7677,7099
6693,5043
5369,4769
10529,3501
4782,3702
7878,5619
9317,6387
10528,3056
10531,3056
3758,116
8196,8064
7075,6506
7155,6222
8016,6222
10008,6222
1265,188
9320,6392
4044,1793
4037,3202
10675,3202
3750,372
6302,2682
1284,1267
6221,5743
6631,5450
10593,4859
9085,4247
5243,4490
5747,4490
7329,5122
10206,5122
8021,6223
10006,6223
3830,526
7328,5121
10326,5121
4539,4473
10677,3212
4797,1681
5435,4228
5224,4553
9980,4553
9321,7084
3999,1724
10533,3049
10328,6094
9292,6343
3769,453
7450,7357
4538,4472
4400,4395
3097,1801
5983,1801
5464,4599
10327,8232
3125,1672
5384,1672
4552,1830
9975,1830
8222,3028
5847,4585
10561,7979
10469,4246
4501,4500
10566,3073
2946,1795
3096,1795
6143,1795
6333,1754
8757,8755
3998,1723
3738,1290
10679,2698
7201,7136
5443,4976
9303,6354
3774,943
9316,6384
4188,1768
9078,9077
3131,1662
10287,9232
4407,4406
4411,4406
