customer_id,item_id,rep_id,invoice_qty,receipt_date,tax_code,net_total_value,is_sales_return,return_value
1302,8839,24,5,2023-08-25,TX_RET_1201,2315.32,True,2315.32
970,5467,1,11,2023-02-03,TX_ADJ_1949,1645.6,False,0.0
1133,8390,20,21,2022-10-31,TX_RET_2202,1547.23,True,1547.23
820,9061,5,16,2022-09-30,TX_RET_1201,1374.77,True,1374.77
2530,1562,3,10,2023-01-04,TX_RET_1201,1573.75,True,1573.75
2041,7191,21,17,2022-03-09,TX_ADJ_1949,491.56,False,0.0
942,1486,11,17,2023-02-13,TX_PUR_1101,701.04,False,0.0
189,5762,20,10,2021-09-28,TX_ADJ_1949,627.23,False,0.0
36,806,15,21,2024-01-24,TX_RET_1202,618.76,True,618.76
1014,7642,21,10,2022-05-13,TX_CAN_1949,306.44,False,0.0
1556,1265,22,23,2024-02-09,TX_MISC_1999,109.21,False,0.0
1943,914,25,8,2022-09-16,TX_RET_1202,1942.97,True,1942.97
169,10536,2,6,2021-09-15,TX_PUR_1101,2071.47,False,0.0
2169,6441,19,9,2022-08-05,TX_RET_2202,1868.4,True,1868.4
1755,9318,12,6,2024-01-05,TX_CAN_1949,2467.99,False,0.0
826,11168,5,24,2021-12-28,TX_ADJ_1949,2163.0,False,0.0
1035,8336,3,17,2022-07-20,TX_ADJ_1949,1694.5,False,0.0
466,7465,4,5,2022-09-13,TX_ADJ_1949,964.33,False,0.0
262,2312,16,7,2023-05-23,TX_PUR_1102,1236.22,False,0.0
1332,3634,16,16,2023-05-23,TX_RET_1202,384.84,True,384.84
297,3744,15,16,2022-05-27,TX_CAN_1949,1237.33,False,0.0
2089,3595,12,18,2023-12-22,TX_CAN_1949,497.13,False,0.0
992,7611,13,5,2022-05-24,TX_CAN_1949,2123.94,False,0.0
646,2696,8,7,2023-09-12,TX_MISC_1999,1510.05,False,0.0
117,339,19,20,2021-08-31,TX_MISC_1999,688.51,False,0.0
2144,998,9,5,2023-09-06,TX_RET_1201,679.25,True,679.25
1634,4164,5,11,2023-12-28,TX_RET_1202,400.9,True,400.9
2160,10062,3,16,2023-12-05,TX_RET_1202,664.12,True,664.12
899,8903,18,11,2022-04-13,TX_ADJ_1949,983.66,False,0.0
2641,794,20,13,2022-09-02,TX_PUR_1102,1657.12,False,0.0
2370,3853,18,8,2024-01-26,TX_MISC_1999,899.28,False,0.0
2568,5399,7,21,2022-12-22,TX_PUR_1101,1143.52,False,0.0
2553,5713,14,3,2022-09-06,TX_RET_1201,2176.97,True,2176.97
750,5077,16,24,2022-02-23,TX_RET_1201,869.22,True,869.22
1325,6340,5,16,2023-02-13,TX_RET_2202,2172.75,True,2172.75
43,9303,24,11,2022-05-20,TX_PUR_1101,1668.67,False,0.0
1127,7548,14,21,2022-09-15,TX_CAN_1949,1375.03,False,0.0
2013,4892,19,2,2022-01-13,TX_RET_1201,195.34,True,195.34
276,3345,16,9,2024-02-01,TX_ADJ_1949,556.66,False,0.0
1021,11098,9,16,2023-06-30,TX_ADJ_1949,2476.27,False,0.0
2141,2258,20,18,2022-02-07,TX_RET_1201,123.26,True,123.26
2582,3190,4,15,2022-02-07,TX_PUR_1102,1046.02,False,0.0
